source,model,d,ability_scale,difficulty_scale,median_of_median_abs_delta,p2_5,p97_5,distance
livecodebench,non-compensatory-mirt,3,1.0,1.5,0.09277789745799225,0.07435268562401262,0.11330202807751495,0.0027778974579922566
livecodebench,non-compensatory-mirt,3,1.0,2.0,0.09435071403202164,0.07631391858029332,0.1144910447950199,0.004350714032021641
livecodebench,non-compensatory-mirt,2,2.0,2.0,0.09469024379397348,0.07363267558905612,0.11969411964806682,0.004690243793973481
mmlu-pro,non-compensatory-mirt,3,1.0,2.0,0.08890085808563356,0.07313549429712926,0.10652916082763797,0.0010991419143664416
mmlu-pro,non-compensatory-mirt,3,1.0,0.5,0.09222008853583427,0.06913239040319286,0.12879278529612087,0.002220088535834275
mmlu-pro,non-compensatory-mirt,3,1.0,1.5,0.0861098169810677,0.06999347608892707,0.10436424460526776,0.0038901830189322917
swebench-verified,non-compensatory-mirt,3,0.5,1.0,0.08828571428571425,0.07321605141727096,0.11267142857142858,0.0017142857142857515
swebench-verified,non-compensatory-mirt,2,2.0,1.5,0.0857634391257007,0.06923214285714294,0.1031705584978333,0.0042365608742993
swebench-verified,non-compensatory-mirt,2,1.5,2.0,0.08528213348877882,0.0740437148502812,0.09766821597252039,0.004717866511221178
